platform,developer,releasedate,metascore
PC,Westwood Studios,31-Aug-95,94
PC,LucasArts,30-Apr-95,86
PS,Tamsoft,9-Sep-95,69
PC,MPS Labs,29-Feb-96,94
PC,id Software,22-Jun-96,94
PC,Blizzard Entertainment,31-Dec-96,94
N64,Nintendo,26-Sep-96,94
PS,Psygnosis,30-Sep-96,93
N64,Nintendo,1-Nov-96,92
PS,Core Design Ltd.,15-Nov-96,91
PS,Capcom,30-Mar-96,91
PC,Westwood Studios,31-Oct-96,90
PS,Namco,25-Aug-96,89
PC,Legend Entertainment,31-Aug-96,89
PC,3D Realms,29-Jan-96,89
PC,Parallax Software,29-Feb-96,89
PC,Rocket Science Games,31-Dec-96,85
PC,SimTex,1-Oct-96,84
PS,Capcom,30-Nov-96,83
PC,SSI,31-Aug-96,80
N64,Paradigm Entertainment,29-Sep-96,80
PC,Adeline Software,31-Jul-96,80
PC,Revolution Software,30-Sep-96,80
PS,Taito Corporation,31-Dec-96,79
PC,Impressions Games,31-Oct-96,77
PC,Pulse Entertainment,29-Feb-96,74
PC,Stick Man Games,30-Apr-96,70
PC,Activision,30-Jun-96,59
PC,DigiFX Interactive,31-Aug-96,53
N64,Rare Ltd.,25-Aug-97,96
PS,Konami,2-Oct-97,93
PC,Firaxis Games,30-Sep-97,92
PS,SquareSoft,3-Sep-97,92
PS,NanaOn-Sha,31-Oct-97,92
PC,"Bungie Software, Bungie",31-Oct-97,91
PS,Psygnosis,31-Oct-97,91
PC,LucasArts,30-Sep-97,91
N64,Rare Ltd.,28-Feb-97,90
PC,Black Isle Studios,30-Sep-97,89
PC,LucasArts,31-Oct-97,89
N64,Rare Ltd.,24-Nov-97,88
N64,Nintendo,1-Jul-97,88
PC,Cavedog Entertainment,27-Sep-97,86
PS,Matrix Software,31-Dec-97,86
PS,Tecmo,30-Nov-97,86
PS,Oddworld Inhabitants,31-Aug-97,85
N64,Iguana Entertainment,28-Feb-97,85
PS,Light Weight,30-Sep-97,83
PC,Ensemble Studios,30-Sep-97,83
PS,Namco,31-Jul-97,83
N64,Nintendo,10-Feb-97,83
N64,Probe Entertainment Limited,30-Sep-97,82
PC,Monolith Productions,31-May-97,82
PC,Smoking Car Productions,31-Mar-97,82
PC,Activision,28-Feb-97,80
N64,Eurocom Entertainment Software,31-Oct-97,73
PC,I Motion,31-Mar-97,72
PS,EA Canada,31-Mar-97,71
PC,Revolution Software,31-Oct-97,69
PC,Origin,30-Sep-97,59
PC,Running With Scissors,30-Sep-97,56
N64,Nintendo,23-Nov-98,99
PS,Namco,29-Apr-98,96
PC,Valve Software,19-Nov-98,96
PS,Polyphony Digital,30-Apr-98,96
PS,KCEJ,21-Oct-98,94
PC,LucasArts,14-Oct-98,94
N64,Rare Ltd.,31-May-98,92
PC,Looking Glass Studios,30-Nov-98,92
PC,BioWare,21-Dec-98,91
PS,Naughty Dog,31-Oct-98,91
N64,Konami Computer Entertainment Osaka,15-Sep-98,91
PS,Capcom,21-Jan-98,89
PS,SquareSoft,5-May-98,89
PC,PopTop Software,2-Nov-98,89
PC,Blizzard Entertainment,31-Mar-98,88
PC,"Bungie Software, Bungie",30-Nov-98,88
PC,Monolith Productions,30-Sep-98,88
PS,Oddworld Inhabitants,31-Oct-98,88
PS,Acquire,31-Aug-98,87
PC,Black Isle Studios,30-Sep-98,86
N64,Iguana Entertainment,21-Oct-98,86
PC,"Atari, MicroProse",30-Nov-98,85
PC,Red Storm Entertainment,21-Aug-98,85
N64,Nintendo,30-Sep-98,85
N64,Factor 5,17-Nov-98,85
PS,SquareSoft,20-Oct-98,84
N64,Psygnosis,3-Nov-98,84
PS,Team Ninja,31-Mar-98,84
N64,DMA Design,21-Oct-98,83
PS,SquareSoft,28-Jan-98,83
PS,SquareSoft,31-Oct-98,81
PS,SquareSoft,9-Sep-98,81
N64,KCEK,31-Dec-98,78
PS,Core Design Ltd.,21-Nov-98,76
PS,Alfa System,30-Jun-98,76
N64,Iguana Entertainment,30-Apr-98,75
N64,Midway Studios - San Diego,24-Mar-98,74
N64,DMA Design,30-Sep-98,73
PC,Monolith Productions,31-Oct-98,72
N64,Player 1,6-Jan-98,72
PC,TopWare Interactive,31-Jul-98,71
PS,TechnoSoft,31-Aug-98,70
N64,Konami Computer Entertainment Osaka,31-Mar-98,67
N64,Nintendo,1-Mar-98,65
N64,Infogrames,18-Jul-98,61
PC,Tribal Dreams,31-Mar-98,58
PC,HyperBole Studios,31-May-98,56
DC,Namco,8-Sep-99,98
PS,Polyphony Digital,30-Nov-99,93
PS,Capcom,30-Apr-99,93
PC,Relic,31-Aug-99,93
PC,"Looking Glass Studios, Irrational Games",11-Aug-99,92
PS,Neversoft Entertainment,31-Aug-99,92
PC,Ensemble Studios,30-Sep-99,92
PC,Epic Games,30-Nov-99,92
PC,Firaxis Games,12-Feb-99,92
PS,Dreamworks Interactive,31-Oct-99,92
PC,Volition Inc.,30-Sep-99,91
PC,Black Isle Studios,14-Dec-99,91
PS,Crystal Dynamics,16-Aug-99,91
N64,Camelot Software Planning,30-Jun-99,91
N64,Ubisoft Montpellier,31-Oct-99,90
PS,SCEI,31-May-99,90
PS,Eidetic,31-Jan-99,90
N64,Rare Ltd.,31-Oct-99,90
PS,SquareSoft,7-Sep-99,90
N64,Paradigm Entertainment,28-Feb-99,90
PS,Psygnosis,31-Aug-99,89
N64,Angel Studios,31-Oct-99,89
PS,Game Arts,30-Sep-99,89
PS,Namco,1-May-99,88
PS,Naughty Dog,30-Sep-99,88
PS,Reflections Interactive,30-Jun-99,87
PS,KCET,31-Jan-99,86
PS,EA Canada,1-Mar-99,86
PC,Sony Online Entertainment,16-Mar-99,85
N64,Midway,31-Jul-99,85
PS,Konami,31-Aug-99,82
PC,Turbine Inc.,31-Oct-99,81
PC,Flying Legends,30-Sep-99,81
PC,Sierra Entertainment,5-Oct-99,80
N64,Rare Ltd.,30-Sep-99,80
PS,Tri-Ace,31-May-99,80
PS,SquareSoft,30-Sep-99,80
N64,HAL Labs,26-Apr-99,79
N64,Hudson,8-Feb-99,79
N64,Victor Interactive Software,30-Nov-99,78
PS,Game Arts,28-May-99,78
N64,Hal,30-Jun-99,77
N64,Boss Game Studios,31-May-99,75
PS,Traveller's Tales,30-Nov-99,75
PC,Cavedog Entertainment,23-Jun-99,74
PC,Illusion Softworks,29-Jul-99,74
PC,Valkyrie Studios,31-Oct-99,72
PS,DMA Design,25-Oct-99,70
PS,Treasure,31-Dec-99,69
PS,Metro,31-Mar-99,66
DC,Sega,31-Dec-99,60
N64,Traveller's Tales,30-Nov-99,58
PS,Human Entertainment,31-Oct-99,49
DC,Acclaim,29-Sep-99,43
PS,Neversoft Entertainment,20-Sep-00,98
DC,Treyarch,6-Nov-00,97
N64,Rare Ltd.,22-May-00,97
DC,Visual Concepts,7-Sep-00,97
PC,BioWare,24-Sep-00,95
N64,Nintendo,25-Oct-00,95
PS,SquareSoft,13-Nov-00,94
PS,KCET,6-Jun-00,94
PS,SquareSoft,15-Aug-00,94
DC,Smilebit,30-Oct-00,94
PS2,EA Sports Big,30-Oct-00,93
